tweet,label
"Hayatımda en önem verdiğim şeylerden biri zekadır.Ya sen kimsin ODTÜ,Boğaziçi kazanmış adama laf ediyorsun.Az haddinizi bilin be !",1
Ben artık bana boğaziçi mezunu ama gitmiş ev hanımı olmuş densin istiyorum.,1
Olası her çimde çekildiğim fotoğrafı boğaziçi çimleri sanıp çok yakışmış yazan aile büyükleri <\3,1
Cevizlibağ ‘beyin’ tabaksını ayıran bir durak. Sola dönen Yeniyüzyıllı Sağa dönen İstanbul Üniversitesi jdjdkdkd Çok ince değil mi .s,1
ya ben boğaziçi üniversitesini hangi götle istiyorum acb,1
"Hayaller Boğaziçi, hayatlar hafta içi üzülmeyin canımın içi.",1
"Hayaller boğaziçi üni,hayatlar @trakuni 😁",1
Hem staj hem tez yapicaz gotum ya bogazici sanki,1
"@Kirazme51938478 @sehriyar_esedov ankarada iyi ama bence en iyisi istanbul marmara, istanbul,boğaziçi üniversitesi😍",1
Sabah saatlerinde @EminCapa Boğaziçi Üniversitesi'ndeymiş. Geçireceğiniz 1 saatin kıymetini çok çok iyi bilin sevgili Boğaziçililer.,1
"Ne profu Allah aşkına, bu kadını Boğaziçi tarih bölümünün kapısından içeri sokmazlar. Kim yaptıysa arada Boğaziçi'ne nefretimizi de kusalım",1
"Elit dediğin yer Boğaziçi'dir, ODTÜ nedir yea, dar'ül fukara mekteb-i gureba.",1
"@nedimsener2010 @fatihportakal ederek topladılar. Bunu yaptıkları kişilerden bazıları arkadaşımdı, Türkiye derecesi alarak Boğaziçi'ne+",1
boğaziçi üniversitesinden biri takip edince KARDEŞ SENİN DAHA ÖNCE DÜŞÜNMEDİĞİN NE SÖYLEYEBİLİRİM Kİ BEN SANA diyesim geliyor,1
"""Türkiye Genclik Ödulleri 2015"" de halk BAU'yu yılın en iyi vakıf üniversitesi, Boğazići'ni de en iyi devlet üniversitesi seçti",1
Muhtemelen boğaziçi üniversitesinin gurur duyduğumuz gençleri,1
"Ales'te eşit ağırlıkta en başarılı okullar Boğaziçi,GS ve ODTÜSözelde GS, BÜ, İstanbul ŞehirSayısalda İTÜ, ODTÜ ve BÜ şeklinde sıralanmış",1
Kendisi İzmirlerden buralara bana haber vermeden geldi üstüne üstlük boğaziçi'ni gezdi terbiyesiz acccccil block --> @filapcek,1
"@msineg hmmm demek boğaziçilisin pardon ""university of boğaziçi"" :'))",1
@onur_durna ahahahahahahaha :D Teşekkürler Boğaziçi teşekkürler 401 ve teşekkürler kerbela da demeliyiz sanırım :) seni yerler,1
Ahanda bugün 100 soru çözdüm okulda eve gidip 100 tane daha çözücem boğaziçi kesin,1
@gungorurbey400 99 yılında Boğaziçi Bilgisayardan mezun oldum :-) Ama bu Hırsızın sisteminde yine girsem RTE Ünv.ne bile giremem herhalde.,1
"Canım ya bi zamanlar ""feysbuk"" profilinde yazardı Boğaziçi'nde okuyor falan diye ama duydum ki Kütahya olmuş, dikkat et soğuktur oralar 😉🙊",1
lan bende seneye kazanıp bioma boğaziçi üniversitesi yazıcam bundan sonra ki tek amacım bu,1
Aqdumun okulu sanki bana boğaziçi ya NE DEMEK SÖZLÜ MUAFIYET NE DEMEK,1
@delikanliserdar @Bogazici_CmpE Çok teşekkür ederiiim ☺️,1
Ulan tweet attığım kadar ygs çalışsam boğaziçi kapıda,1
"@MISTURKEY2013 gelecek #YBZirvesi için Boğaziçi, Beykent ve Başkent Üniversitesi de teşrif etmeli bence... Sırasıyla bu bölümün kurucuları.",1
@EdaaYlmz İyidir. Boğaziçi olursa tadından yenmez.,1
Gelenek yaşatıldıkça gelenektir.150 yıllık geleneğin okulu Boğaziçi Üniversitesi ve Gülay Barbarosoğlu geleneksel hale gelen #IBPF 'te!,1
@tufancomert @EminCapa yirmi bin kişilik kontenjanı var ve barajı geçen herkesi alıyorlar. Tabiki Boğaziçi'nden daha çok tercih edilecek.,1
@gamzesahann kanka boğazici garanti,1
Boğaziçi'nde okuyorum havasıyla gelip 1. Soruyu zar zor bilip 3. Soruda elenmek.. #KimMilyonerOlmekİster,1
siz boğaziçi güney kampüs'te frizbi oynarken ben osmangazi üniversitesinde hasta yakınlarının piknik tüplerine çarpmamak için uğraşıyorum.,1
@05semraarazgn @edipyuksel @hoco1907 @erdinctepekoyl2odtü boğaziçi koç sabancı böyle şoparlar çıkıyor mu çıkmaz çünkü bilim için uğraşılıyor,1
ODTÜ diş hekimliği tutuyor da boğaziçi diş hekimliği için tekrar deneyeceğim. Hayaller önemli sonuçta. #lys2015 #lyssonucları,1
Boğaziçi'ne parayla alıyolardı da biz mi gitmedik 😬,1
Rt @t_cetveli88: Sonra vay efendim İlknur Boğaziçi üni.yi neden kazanamadı 😂😂 @RestoMelek,1
Hayaller tamda istanbul bogaziçi universitesi 😏,1
Bi de boğaziçi kazanmış gavat #EnZayıfHalka,1
"Şu bioya ""Boğaziçi Üniversitesi"" yazabileydik nolurdu be...",1
"Boğaziçi meydan 1993 öncesi tostoprak bir yermiş,şimdiki haline getirilen verilen tepkiler, tanıdık pic.twitter.com/8B7Voj9R0k",1
"Bir Bogazici mezununun ""is dunyasi"" disinda kendi alaninda dunyada birinci olmasi mumkun. Paraya ve guce tapmak yerine biraz arastirirsaniz hayata baska anlamlar kazandiran mezunlarinizi da bulabilirsiniz.",1
"Evet 5 tane soru çözdüm yeter bu kadar sanırım,kesin Boğaziçi Üniversitesi Eğitim Fakültesi'ni kazanırım...s.s.s",1
Boğaziçi Üniversitesi'nin tıp fakültesi olmadığını bugün öğrendim. Hayellerim yalan oldu 😞,1
@Selcanyagmur @kasharkemal bilgi lisans+bogazici master zaten ultimate combo :),1
Herkes boğaziçi diyo ama @aydın üniversitesi w/others aq,1
#cinsel #tacize #hayır #3-28 #Kasım #cinsel #tacize #karşı #farkındalık #ayı #boğaziçi #universitesi pic.twitter.com/eIkrQ9IKBp,1
Robert Koleji'nin kuruluş hikayesini biliyor musunuz? Çok güzel. (Şimdiki Boğaziçi Uni.) pic.twitter.com/xul5WG0Kdx,1
Bide gençler olursa boğaziçi olmazsa seneye hafta içide yok bide böyle düşünün,1
Boğaziçi Üniversitesi Kütüphanesi 7/24 açıldı.,1
Boğaziçi Üniversitesinde İngilizce okuyan kuzenim olmasına rağmen @sergenatas  Ben ingilizceyle cebelleşiyorum iş mi bu hıı??? 😯😬,1
Bilkent videosu tam şu an gelmelisin tam şu an @bilkenttv,1
kerizler ya sınavda kopyanın amına koyduk resmen gelsin boğaziçi :)))) #YgsKopyaSkandalı,1
"Boğaziçi Üniversitesi - Dilbilim, aww yeah!",1
Çıkmak dert en basitinden manzarasında oturup bir çay sigara yapmayı bile özlüyorsun.Nazlı kendine yavaş yavaş bağlayan bir sevgili Boğaziçi,1
"İyi ki; Boğaziçi Üniversitesi'ne gidip baştan çıkmamışlar!  Ya gidip de baştan çıksaymışlar, neler yapacaklardı, kim bilir?",1
"Mezuna kalıyoruz lakin ""Allahım ne olur İtü, Boğaziçi kazanamasınlar"" diye dua eden bir en yakın arkadaşa sahibiz hayat zor",1
1 boğaziçi 2 sakarya üniversitesi gerisi yalan :D pic.twitter.com/7g9JH96g91,1
Sabah sabah Boğaziçi Üniversitesi. pic.twitter.com/H5l6J1eH1N,1
bogazici mi mimar sinan mi koç mu? karar viremedim bir turluuu(n*h kazaniriiiim :(),1
@TEDMersin Koleji Lise öğrencilerimizle birlikte Boğaziçi Üniversitesi Model Avrupa Birliği Konferansını başarıyla tamamladık.,1
her ne kadar çok beceremesem de sen bitanesin #boğaziçi,1
Bogaziçi üniversitesi çok güzel ama tıp yok nedenn ???,1
Boğaziçi Üniversitesi'nde #Bizans Araştırmaları Merkezi kuruldu. Türkiye'de ilk kez bir devlet üniversitesi Bizans medeniyetini araştıracak.,1
@gentle_meen canım ben Boğaziçi ve Ingiltere de 3 sıradaki Birmingham i bitirdim. Sen şimdi git biraz ders çalış dengim değilsin,1
Hedef Boğaziçi followed you,1
"Boğazici Üniversitesi""nde okumak ne demek bilemezsiniz. Biz biliyoruz da artik.",1
Boğaziçi Üniversitesi Manavlık hedefliyorum,1
Infoya Boğaziçi Üniversitesi yazma qeyfi.,1
@ImanlkkAyca bi bogazici felsefe kazandırırım,1
"Boğaziçi üniversitesi sanki lüks bi fransız sitesi gibi, Türkiye değil orası ayrı bir yer.",1
Bogazici isletme kazanamicaksam tm ye gecmem mantigini olumune surduruyorum,1
Boğaziçi Tıp'ı kazandım 😈😈,1
Keşke bizim üniversitemizde Bilkent gibi tarafsız kararlar verebilse.,1
Gençlerimiz Boğaziçi Üniversitesi'nden elleri dolu ayrıldı. 😉👍🏻 #meridyenmunazarakulubu #meridyengenc #boun pic.twitter.com/u8TaCLa5aW,1
@mesut_sure hayaller Bogazici Bilgisayardi gercekler M.Sinan istatistik oldu:),1
@say_cem Bellek maaşallah. Boğaziçi'liyiz sanırım ;),1
Kim 1 milyon ister yarışmasını izliyorum kız Boğaziçi Ekonomi okuyor annesi Diş Hekimi babası Beyin Cerrahı ablası avukat kızın. Aileye bak,1
"Boğaziçi Üniversitesi, İş güvenliği Eğitimimiz Hız Kesmeden Devam Ediyor.. pic.twitter.com/X4PDNTFVcB",1
@burak_usl boğaziçi olabilir mesela zaten baya bi ısrarla beni bekliyolar okula... sjzmamzmksmsks,1
@redevilot @_kgokkaya 1 boğaziçi geri kalanlar sıralamayı belirlesin?,1
"""Boğaziçi Üniversitesi, Bakanlığımızın girişimci üniversiteler sıralamasında 3. sırada."" @fikriisik #IBPF",1
Boğaziçi üni. paralıydı da biz mi gitmedik.,1
Boğaziçi Avukatlık da fena sayılmaz.,1
"Boğaziçi Üniversitesi ve Koç Üniversitesi olmuyordu, arada kaldım Sabancı Üniversitesini yazdım yhaa diyen stajerlerimiz var",1
Hedefim Boğaziçi'ne girmekti. pic.twitter.com/DFIOeQ7r0A,1
Boğaziçi ve ODTÜ önceliklidir.,1
dolmuşta ilkokul arkadaşım 486 puan aldım da gitmedim. boğaziçi hukuk istiyorum diye annemi kandırmış. orda hukuk yok aq salağı diyememiş:(,1
@tanricc_tr bi Boğaziçi Psikoloji varsa alırız😊,1
@yurdanursinal @noktaderqi En iyi üniversitelerimizden biri Boğaziçi Üniversitesi.,1
Boğaziçi üniversitesi gözcülük fakültesi. Varsa böyle bişey ilk tercihim ya lasgsadsaf,1
"Bİlal,'' Benim aslında hedefim İstanbul’daki en iyi bölüm Boğaziçi Üniversitesi’ni kazanmaktı.'' - Bu Bu mu !! haha pic.twitter.com/S00rVKgB4b",1
"""@salihademr: ""@F_YURTDAS: ""@fatihakalan: Bir tane Boğaziçi Üniversitesi 1 milyon aday olduğu için #DershanelerHizmeteDevamEtmeli""""""",1
Boğaziçi Üniversitesi’nden Prof. Dr. Cem Yalçın Yıldırım sayılar teorisi alanında 2014 Frank Nelson Cole Ödülü’ne layık görüldü.,1
Ben hayatımın aşkıyla Boğaziçi Kütüphanesi'nde tanışacağımı düşünüyordum,1
Boğaziçi dururken orayı seçersen öyle olur tabi,1
Boğaziçi Üniversitesi'den sevgiler :) @basatonur pic.twitter.com/eDsT76zRTb,1
@lanasbelair dur daha Boğaziçi'ni kazanacaksın acelesi yok :),1
@IBPF_ Babacan Ankara'da Boğaziçi Üniversitesi olsa Boğaziçi'ne giderdim.:),1
Yarın üniversite sınavına başvurcam. Öncelikli hedefim ucuz akbil sonraki hedefim boğaziçi universitesi siyaset bilimi ve kamu yönetimi :),1
"Efsanevi 1987 kışında Boğaziçi Üniversitesinde Christmas tatili, sömestr tatili ve kar tatili birleşip ""2 ay mektep tatili"" yaşanmıştı.",1
Bogaziçi’nde sinema egitimi alinca Hollywood a bakis açim bok oldu Academy Awards👎🏻 Berlinale👍🏻,1
Tabii ki de Boğaziçi'ni kazanmak için ❤️,1
@SaDiKoGLu08 @atvcomtr koç veya boğaziçi üniversitesi yada yeditepe üniversitesinde okumak ilk şart yoksa 12 değil 24 soru cevaplasan boş :),1
en yakın arkadaşım boğaziçi uluslararası kazandı hiçbirinizi ciddiye alamıycam bayss,1
Hayaller Boğaziçi Hayatlar anlaşılamayan sayılar canımın içi pic.twitter.com/74438ZLhE4,1
Bu kadar zeki evlat görülmedi.Canım sende Boğaziçi'ne gidecek zeka mı vardı.Bak milyonALi amcan yoldan çıkmamak için gitmemiş!,1
"Eski okulumda ""bundan adam olmaz"" diye nitelendirdiğim arkadaşlarımın biosunda marmara üniversitesi, boğaziçi üniversitesi yazıyor :/",1
en büyük pişmanlığım keşke güzel sanatlar okusaydım boğaziçi için de kastırsaydım falan,1
@selimsipahioglu Boğaziçi yine de Türkiye'nin en iyi üniversitelerinden biri. Sadece bu yüzden yeğeninizin kariyerini etkilemeyin...,1
@Zisaan1905 @renklikalemim Seneye Bogaziçi psikolojiyle başlayıp Selçuk bari gelseydi diye kapatanlar kulübü olmasın da gerisi hallolur asdf,1
Yerleştirmeler açıklandı! Boğaziçi Üniversitesi'ni kazanan yeni arkadaşlarımızı tebrik ediyoruz!,1
"Mesela benim babam yıldız teknik mezunu. O zamanlar boğaziçi kötüymüş. Öyle diyo, o bana yalan söylemez.",1
O değil de boğaziçi Üniversitesi de okul bizimki de...,1
Daha demin RTlediklerim Boğaziçi Üniversitesi'ne dereceyle giren arkadaşlarım... Daha fazla bir şey diyemeyeceğim.,1
@cherrypielouis aklımda bölüm yok ama sayısal bir bölümde istanbul üniversitesi veya boğaziçi istiyorum sen psikoloji istiyordun değil mi,1
Uyumaya çalıştığım kadar derslerime çalışsam Boğaziçi'nde okurum,1
Tabi o kadar çalışmanız boğaziçi geliyoken aptal gibi omü yü tercih etmenizle hayatınızın en büyük hatası oluyor.,1
"Yine söylüyorum şükürler olsun iyi ki @UniBogazici ""Boğaziçi Üniversitesi'nde"" okuyorum. Abi çok şey öğrenmişiz...",1
"Boğaziçi Üniversitesi, Cansuyu Derneği işbirliği ile İslam coğrafyalarındaki yetimlere sahip çıkıyor. pic.twitter.com/STYWbzaZcP",1
Boğaziçi tanıtım filmlerine bakıp zılgıt çekmek,1
"Bogazici Universitesi mezuniyet toreni sesleri geliyor, insan hatirlayinca gurur duyuyor. Yolunuz acik olsun!",1
@EminCapa Xeno NA _Boğaziçi Unv. Genetik harika bir merkezdir,1
Yabancı dilim olsada Boğaziçi Üniversitesine geçiş yapabilsem 😔. Ahh bu yabancı dil ahh 😞.,1
@Ahmet_Davutoglu çalışan öğrenciler lehine değişmesine rağmen. Oğlum çok başarılı olup Boğaziçi Üniversitesi Endüstri Mühendisliğini,1
İstanbul ile ilgili ilgimi çeken şeyin konserlerden ve tabii ki de Boğaziçi Üniversitesi'nden ibaret olması da bir gerçek.,1
Kizlarin sevgili secimi (temsili) bogazici koc dururken halic nisantasi  tercih etmek enteresan...  Gece gece tovbeee,1
Sen boğaziçi üniversitesi ben meslek lisesi öğrencisi........,1
@bus_rakoc @PilliBeybi Boğaziçi işletmeden aşağısı kurtarmaz şimdi o hızla :),1
Boğaziçi üniversitesi ni duyduğunuzda ilk önce saygı duyup tebrik edeceksiniz...,1
"""Biz 80'li yıllarda Boğaziçi Üniversitesi'nde okurken 6-7 vasıta değiştirerek okula gelirdik"" diyen Davutoğlu, Konya'dan mı geliyordu okula?",1
@mihrap_aydin olabilir. bu üç kavramı bir cümlede aradan çıkaranlara boğaziçi sosyoloji diploması verilebilir. bence sakıncası yok.,1
"Sikma canini 7tepeli,ortamlarda bogazici mezunuyum dersin..",1
2015 sonuçlarına göre Boğaziçi Üniversitesi'nin 33 bölümünün tamamı devlet üniversiteleri içinde en yüksek taban puana sahip. Çok net!,1
Milletin okulu Marmara'ya Boğaziçi'ne götürür bizim okul Nişantaşı Üniversitesi'ne,1
"Boğaziçi Üniversitesi, manevi büyüklerinin izinde... pic.twitter.com/dBgk6feqjw",1
Üniversite Denilince aklıma tek Boğaziçi Üniversitesi geliyor Yurtta kalmak kulüplerinde çalışmak ve illaki sinema dersleri almak şartıyla:),1
sn @Ahmet_Davutoglu Boğaziçi Üniversitesi Ekonomi ve Siyaset Bilimi Bölümlerinden mezun oldunuz sizde iibflisiniz bu çığlıkları duyun artk,1
Bazen kendimi Boğaziçi Üniversitesi Sabancı Üniversitesi veya Koç Üniversitesi kazanmış hayal ediyorum. Sonra kafama vurup kendime geliyorum,1
"Kapatılmaları önerilen Bilkent ve Boğaziçi Üniversitesi ile yıkılması istenen ODTÜ gene en iyiler arasına mı girmiş? Tiz kapatıla, yıkıla!",1
@BURAKCNece Boğaziçi üniversitesi ALLAH'IN izniyle İNŞALLAH AMİN,1
"#Fake profillerde Tuana ve Buse isimleri pek bir revaçta... Nereden mi bilmiyorum, Boğaziçi Üniversitesi Grubu'na katılma taleplerinden :)",1
"Hey gidi günler hey! ☺️ Boğaziçi Bilgisayar Mühendisliği çatı katı. 9 yıl önce bir yılbaşı 🎄partisinde çekilmiş. Abu, Birko, Nebahat ve ben... #goodolddays Şimdi herkes ber yerlerde... pic.twitter.com/25yTYkJoth",1
boğaziçi falan harbiden müthiş seviye. aybüke beren kiraz'a büyük saygı duyuyorum. odtü'de okuyan fırat aslan'a da öyle. ÜLKE SİZE EMANET,1
@nihan_erta umarım Boğaziçi Üniversitesi'ni kazanirsiniz:),1
boğaziçi istiyorum ama asla ders calismiyorum sinavda vahiy falan gelse ne güzel olur,1
"Boğaziçi Üniversitesi'nden mezun olup, 200 dolara Soğuklarda okul açan yiğitleri, sizler anlayamazsınız.#KaraSevdamız""",1
Boğaziçi’ni beğenmediğimden bıraktım demenin keyfi Boğaziçi’nde okuyorum demekten kesinlikle daha güzel aq,1
#TürkiyeGençlikÖdülleri2015 'de oylama sonucu En İyi Aktif Üniversite Kulübü : Boğaziçi Üniversitesi Müzik Klübü. : @BumK1974 @UniBogazici,1
Boğaziçi Tarih kazanan arkadaşım var havası..,1
"İtü'yü hornets, odtü'yü falcons, boğaziçi'ni sultans için istiyorum yoksa eğitim falan tırı vırı",1
Hayaller boğaziçi Üniversitesi hayatlar bergama uğur dershanesi. 😱,1
Torunu boğaziçi psikolojide son sınıfmış niye anlatıyon teyze bana mı yapıcan torunu,1
Ygs türkçe sorularını çözdüm doğru çıktı. Boğaziçi kesin yaaa,1
@sexpounder varsın geçsin ama hedef boğaziçi durmak yok yola devam ver gazı,1
"Biz de bilirdik bio olarak ODTU,Boğaziçi,Hacettepe Üniversitesi yazmayı Allah bize o kadar akıl vermemiş napalım",1
Ay evet evet Semihacım valla geldi bizim oğlan da evet evet Boğaziçi’nde teyzesi bu sene hazırlık ...,1
@Dozvaris 'sız ders çalışamaz oldum keşke össye de beraber çalışsaymışız boğaziçi tıp %100 burs girermişiz 😁,1
"3İK Destek Sponsorluğunda düzenlenen, Boğaziçi Üniversitesi @ikzirve'de başarılar dileriz. #ikzirve2014",1
Olmayan Düşüm Boğaziçi Üniversitesi... pic.twitter.com/UmyuZ8w2p0,1
üstelik ilk 200 sıralamasında 199. sırada yer alan Boğaziçi Universitesi,1
sizin okul nerdeydi diyorum bana diyor ki etiler.1) etiler nerde?2) öss puanım yüzünden boğaziçi üni ve çevresindeki semtlere girişim yasak,1
"Geç de olsa kazandık, merhaba Boğaziçi Üniversitesi merhaba :))",1
bugun bizim programımızı ziyaret eden boğaziçi üniversitesiöğrencileri çok teşekkür ederiz iyi ki varsınız @UniBogazici,1
Baktım keyfim yok saçları kestim bi test kitabı aldım üni okumaya karar verdim bekle beni boğaziçi,1
"“@SengalGazze: Boğaziçi Üniversitesi öğrencileri IŞİD saldırılarına sessiz kalmıyor ""Kobani halkı yalnız değildir!"" pic.twitter.com/Zf1xZSiM9y”",1
bu kızın boğaziçi politika okuduğu da belli değil aq onu da çalmıştır,1
@tugcesahina Bana da Boğaziçi Endüstri diledi oley,1
"@vursalarolemem bilader boğaziçi sosyolojinin yüksek lisans mülakatlarına döndü bu mevzu, biraz kolay sor aq",1
Sırf Boğaziçi University yazsın diye abidik gubidik bölümlere gidip tripten tribe girenler de başka bir kafa yaşıyor,1
Türkiye'nin en güzel manzarasına sahip ilk iki üniversitesini sayınız: 2.sırada Boğaziçi ve 1. sırada Çanakkale 18 Mart Üniversitesi.,1
Yıllardır 4 sabah izlediğim program#SporServisiBoğaziçi Üniversitesi tarafından yine ödüllendirildiÇok yaşasınlar pic.twitter.com/0AGXxX2dgj,1
Beyaz show da Bülent Ecevit Üniversitesi ismini duyunca nasıl hüzünlendim bee 🚬😔 #BEÜ,1
Kendimi boğaziçi üniversitesi mezunu olup ilk soruda elenen yarışmacı gibi hissediyorum.,1
Bilkent Üniversitesinde okumuyorum ama bir genel kültür testi oldum ve başarılı bir genel kültür testi oldu benim için çok mutluyum,1
Boğaziçi Üniversitesi'ni takip ettiğim zamanki özgüvenimden istiyorum işte.,1
hayaller boğaziçi hayatlar van yüzüncü yıl üniversitesi,1
Hayaller boğaziçi hayatlar haftaiçi,1
Boğaziçi tutmayınca ben:( pic.twitter.com/560e54RpoP,1
@M_serhatarslan ya canım arkadaşım ben sana hep ederim hedefin boğaziçi olsun dimi,1
Yakın doğu üniversitesi hoca dahil eski fb'li oyuncularla her kulvarda şampiyonluğa koşarken diyecek birşey bulamıyorum.,1
Komşunun Hıdırellez dileğine Boğaziçi Tıp yazmasıda biraz şov bence sonuçta dilekte bi yere kadar ama yinede siz bilirsiniz tabii,1
Artık hayatımda CB nin tayyipten başka bir anlamı var. Teşekkürler boğaziçi.,1
@erdincsimsekk boğaziçi bırakan var,1
Boğaziçi psikoloji için matematiğin hepsini yapmam gerekiyomuş 😐😐,1
@BGMC1982  Boğaziçi University keeps open house for Boston Gay Men’s Chorus!,1
eee herkes boğaziçine gitmek istiyorsa bütün üniversitelerin adını boğaziçi yapın gençlerin kalpleri kırılmasın,1
şu an itibariyle boğaziçi olmazsa - ki çok zor - ikinci tercihim kesinlikle galatasaray,1
"""Ölmez Ağaç: #Yırca Direnişi Belgeseli"" Boğaziçi Üniversitesi gösteriminden bir kare... pic.twitter.com/U9Q1XPkgka",1
Galatasarayin Kadıköy'de kazanma umudu YGS ye son gün çalışıp boğaziçi isteyen öğrenci gibi :Ddd,1
Akmerkezden sonra kampus gayet hesapli geliyor :) Serkan @ BogaziciUniversitesi,1
"Allah'ım Marmara, Boğaziçi, Yıldız Teknik amin",1
"Bogazici Universitesi'nde kedi evleri harika, kedisiz kampus kampus diildir Istanbul'da. pic.twitter.com/PiYMzE6MpU",1
@unsalim hocam aslen sayısalcıyım sizce full e yakın mat geo ve bir haftalık edebiyat çalışmasıyla boğaziçi işletme olabilir mi sıralamam335,1
#NefleGerçekOlur Galatasaray Üniversitesi’nde okuyup Galatasaray’a hizmet etmek istiyorum umarım Nef ile gerçek olur💛❤️🙏🏻,1
"Boğaziçi Üniversitesi mezunu bir Başbakan ın ingilizce si eleştiri konusu oluyorsa,sıkıntı var insanlarda...",1
@TubaIEroglu sadece Boğaziçi üniversitesinin bir çalışması olduğunu biliyorum.,1
Mahalle deki yaslilarin dualari sayensinde üniversite sınavlarına hazirlamadan Boğaziçi Üniversitesi kazanacam  :-D,1
Boğaziçi Üniversitesi'nde El-Nusra'ya geçit yok! pic.twitter.com/ZYBXEIRds7,1
Herkese Boğaziçi çıkarken bana Ankara üniversitesi çıkması.. Onedio bile farkında oraya ait olmadığımın.,1
Almanyadan çikolata içki isteyen oldu da boğaziçi ders programı isteyen olmamıştı... @elifsubalci pic.twitter.com/IDPYtnhMT0,1
Boğaziçi Üniversitesi olursa hayır demem tabi cncndnnxnsnzma,1
"Allahım iki yıl sonra insta ve twitter açıklamalarıma ""dokuz eylül üniversitesi"" yada ""boğaziçi üniversitesi"" yazdır amin 💁",1
"@Seggitorial @ErhanErkut 30 - 40 sene önce yani 1975 - 1985'de İTÜ, ODTÜ, Boğaziçi dünyaca tanınan mezunları takdir edilen kurumlardı?",1
"Boğaziçi böyleyse, Ankaradaki muadilinde denesinler meydan savaşını gör. Ankaradaki bildiğin terörist yuvası.",1
Tiyatro Boğaziçi'nin Hamlet üzerinde yürüttüğü 2 yıllık  dramaturji ve sahneleme çalışmalarının ürünü olarak ortaya çıkmış.,1
Resmen Boğaziçi Üniversitesi’ne gitmiş olmamı twitter kaldıramadı🤣🤣🤣,1
@ayagimaboston @furkkaannnn ts de ilk 500 deyim yazın bunu bi kenara tm de de gircem insallah koc ekonomi ya da bogazici isletme falan,1
Bogazici universitesi gozde hocayla daha guzel :) @agitsagin @muhammed_goral @meyyalhanim pic.twitter.com/PWlyzsHBqH,1
Boğaziçi Üniversitesi kadar kaliteli bir üniversite görmedim.,1
"@arifturken laflarına dikkat et ben 55 yaşında İTÜ ve Bogaziçi Üniversitesi mezunuyum, öyle kabadayı gibi "" cahilce"" demeni kabul edemem.",1
Ulan 30 tane tercih yapacam köküne para mı verdim sanki hepsi boğazici odtü olacak ajajaj,1
"Taze mezun olarak: Boğaziçi'ni seviyorum, Boğaziçililiği değil.""Tüm Boğaziçililer iyidir."" hemşehirciliği, gizli şovenizmi sevmiyorum.",1
@fazlasiylamavi ben de bu yuzden bogazici iktisat okuyorum demek isterdim ama istanbul iktisat amk neyse moraller bozuldu bbb,1
şu tabloya rağmen milli takım finaldeyse ben her şeyi yapabilirim diye düşünüyorum boğaziçi falan ne diyosun @CenabiAllah,1
"Kyoto universitesi kampusunde adim basi sicak&soguk yesil cay var, hem de bedeve",1
Boğaziçi üniversitesine temizlikçi olarak gidebiliyorum hoooleyy,1
"canım hocam tercihlerimde yardımcı olmak adına öneride bulundu. ilk beşte boğaziçi, istanbul ü, yıldız teknik falan var sanırım dalga geçmiş",1
@michigessda Boğaziçi çeviribilim istiyorum hayatım,1
"uykumdan fedakarlık ediyorsam, damarlarımda kan değil kahve dolaşıyorsa boğaziçi buraya gelecek ya!!!1!1",1
